ISBN,avg_rating,rating_count,Book-Title,Book-Author,Year-Of-Publication,popularity_score
1889625035,5.0,1,Rumi: Fountain of Fire,Nader Khalili,2002.0,5.0
1889853038,10.0,1,The Nurse's Story,Carol Gino,1997.0,10.0
1890132322,10.0,1,The Man Who Planted Trees,Jean Giono,1999.0,10.0
1890159018,7.0,1,The Ethical Slut: A Guide to Infinite Sexual Possibilities,Dossie Easton,1998.0,7.0
1890437557,7.0,1,Crested Butte : A Novel,Marilyn Brown Oden,2000.0,7.0
1890768030,9.0,1,Secret's Shadow: The First Cassidy McCabe Mystery (The First Cassidy Mccabe Mystery),Alex Matthews,1998.0,9.0
1890957313,5.0,1,Free Stuff for Seniors,Fc &amp; A Publishing Staff,2000.0,5.0
1891053426,5.5,2,Best of Temp Slave,Jeff Kelly,1997.0,11.0
1891105035,8.5,2,30-Minute Meals,Rachael Ray,1999.0,17.0
1891153889,8.0,1,Buffy the Vampire Slayer: Core Rulebook,C.J. Carella,2002.0,8.0
1891400495,10.0,1,"A Simple Choice : A Practical Guide to Saving Your Time, Money and Sanity",Deborah Taylor-Hough,2000.0,10.0
189162007X,8.0,1,Others Unknown : The Oklahoma City Bombing Conspiracy,Stephen Jones,1998.0,8.0
1891620487,7.5,2,American Greats,Robert A. Wilson,1999.0,15.0
189186744X,10.0,1,Inside Vineyland,Lauren Weinstein,2003.0,10.0
1892051001,6.0,2,"Guinness 2000 Book of Records: Millennium Edition (Guinness Book of Records, 2000)",Guinness Media Inc.,1999.0,12.0
1892051176,5.0,1,Guinness World Records 2003 (Guinness World Records),Claire Folkard,2002.0,5.0
1892065169,8.0,1,Kirith Kirin,Jim Grimsley,2000.0,8.0
1892065444,10.0,1,Cats In Cyberspace,Beth Hilgartner,2001.0,10.0
1892145057,9.5,2,T. Bor: Tiborocity Exhibition,Maira Kalman,2002.0,19.0
1892213001,8.0,1,Magic Knight Rayearth 1,Clamp,1999.0,8.0
1892213052,8.0,1,Sailor Moon (Sailor Moon),Naoko Takeuchi,1999.0,8.0
1892213060,8.0,1,"Sailor Moon, Vol. 3",Naoko Takeuchi,1999.0,8.0
1892213087,7.0,1,"Magic Knight: Rayearth II, Book 2",Clamp,1999.0,7.0
1892213125,8.0,1,"Sailor Moon Supers, Vol. 1",Naoko Takeuchi,1999.0,8.0
189221315X,8.0,1,"Sailor Moon, Vol. 4",Naoko Takeuchi,1999.0,8.0
1892213206,8.0,1,"Sailor Moon, Vol. 5",Naoko Takeuchi,1999.0,8.0
1892213249,8.0,1,"Sailor Moon Supers, Vol. 2",Naoko Takeuchi,1999.0,8.0
1892213265,8.0,1,"Sailor Moon Supers, Vol. 3",Naoko Takeuchi,1999.0,8.0
1892213354,8.0,1,Sailor Moon 6,Naoko Takeuchi,2000.0,8.0
1892213397,8.0,1,Sailor Moon Supers #4,Naoko Takeuchi,2000.0,8.0
1892213427,8.0,1,Sailor Moon #7,Naoko Takeuchi,2000.0,8.0
1892213478,8.0,1,Sailor Moon Vol. 8,Naoko Takeuchi,2001.0,8.0
1892213486,8.0,1,Sailor Moon Stars 1,Naoko Takeuchi,2001.0,8.0
1892213664,7.0,1,"Clover (Clover, 1)",Clamp,2001.0,7.0
1892213680,8.0,1,Sailor Moon Vol. 9,Naoko Takeuchi,2001.0,8.0
1892213702,8.0,1,Sailor Moon Stars #2,Naoko Takeuchi,2001.0,8.0
1892213753,10.0,1,"Cardcaptor Sakura, Master of the Clow (1)",Clamp,2002.0,10.0
1892213761,10.0,1,"Cardcaptor Sakura: Master of the Clow, Book 2",Clamp,2002.0,10.0
189221377X,10.0,1,"Cardcaptor Sakura: Master of the Clow (Cardcaptor Sakura, 3)",Clamp,2003.0,10.0
1892213788,10.0,1,"Cardcaptor Sakura: Master of the Clow, Book 4",Clamp,2003.0,10.0
1892213796,10.0,1,"Cardcaptor Sakura: Master of the Clow, Book 5",Clamp,2003.0,10.0
1892213974,8.0,1,Sailor Moon Stars # 3,Naoko Takeuchi,2001.0,8.0
1892213982,8.0,1,Sailor Moon #10,Naoko Takeuchi,2001.0,8.0
1892213990,8.0,1,Sailor Moon #11,Naoko Takeuchi,2001.0,8.0
189251415X,8.0,1,The Bearded Lady,Sharlee Dieguez,1999.0,8.0
1892603004,7.0,1,El bandido,Rebecca Brandewyne,1998.0,7.0
1892950618,9.0,1,The Girl Next Door,Jack Ketchum,2002.0,9.0
1893010023,7.333333333333333,3,High Times Presents Paul Krassner's Pot Stories for the Soul,Paul Krassner,1999.0,22.0
1893121119,8.0,1,"Ticket to Everywhere : The Best of \Detours\"" Travel Column""",Dave Hoekstra,2000.0,8.0
1893224902,10.0,1,When You Ride Alone You Ride With Bin Laden: What the Government Should Be Telling Us to Help Fight the War on Terrorism,Bill Maher,2003.0,10.0
1893361764,6.0,1,"Journeys of Simplicity: Traveling Light With Thomas Merton, Basho, Edward Abbey, Annie Dillard &amp; Others",Philip Harnden,2003.0,6.0
1893705153,9.0,1,"Ordering from the Cosmic Kitchen: The Essential Guide to Powerful, Nourishing Affirmations",Patricia J. Crane,2002.0,9.0
1893910245,6.5,2,Patient Heal Thyself: A Remarkable Health Program Combining Ancient Wisdom With Groundbreaking Clinical Research,Jordan S. Rubin,2002.0,13.0
189400406X,5.0,1,When Do You Let the Animals Out?: A Field Guide to Rocky Mountain Humor,Michael Kerr,1999.0,5.0
1894294424,9.0,2,Donovan's Station: A Novel,Robin McGrath,2002.0,18.0
1894815351,1.0,1,Suffer the Flesh,Monica J. O'Rourke,2002.0,1.0
1895383129,7.0,1,Kriya Yoga Sutras of Patanjali and the Siddhas,Georg Feverstein,2001.0,7.0
1895411416,7.0,1,April Raintree,Beatrice Culleton Mosionier,1995.0,7.0
1895449537,7.0,2,What Is Already Known,Sean Virgo,1995.0,14.0
1895555590,10.0,1,Unseen,Lunn,1995.0,10.0
1895565545,8.0,1,The Group of Seven and Tom Thomson: An Introduction,Anne Newlands,1995.0,8.0
1895636337,7.0,1,The Inanimate World: Stories,Robert Strandquist,2000.0,7.0
1895837618,6.0,1,Pray for Us Sinners,Patrick Taylor,2000.0,6.0
1895857058,9.0,1,On the Safe Edge: A Manual for SM Play,Trevor Jacques,1993.0,9.0
1896764096,10.0,1,Girl Who Hated Books(the),Manjusha Pawagi,1998.0,10.0
1897783108,3.0,1,Oasis: Round Their Way,Mick Middles,1996.0,3.0
1899293086,10.0,1,A Thing Apart,Andrew Parkin,2002.0,10.0
1899712186,5.0,1,Mind Bending Classic Logic Puzzles (Mind-Bending Classic Logic Puzzles),Lagoon Books,1999.0,5.0
1900850303,4.0,1,The Angelic Darkness,Richard Zimler,1999.0,4.0
1901881555,10.0,1,Sweet Dreamer: A Guide for Young Dreamers (Cosmic Kits),Lori Reid,1998.0,10.0
1901881652,8.0,1,A Yoga Parade of Animals: A First Fun Picture Book on Yoga,Pauline Mainland,1998.0,8.0
190288132X,8.0,1,Adiel,Shlomo Dunour,2001.0,8.0
1903650267,6.5,2,Irish Girls About Town,Maeve Binchy,2002.0,13.0
1904095399,5.0,1,Who Was Dr.Charlotte Bach?,Francis Wheen,2002.0,5.0
1904301088,8.0,1,The Raggy Boy Trilogy,Patrick Galvin,2002.0,8.0
1904492355,8.5,4,Matabele Gold,Michael J. Hunt,2003.0,34.0
1904908004,6.0,1,Shakespeare My Butt,John Donoghue,2004.0,6.0
1928556221,7.0,1,"Bless Your Heart, Tramp",Celia Rivenbark,2000.0,7.0
1928556396,10.0,1,Searching for Virginia Dare: A Fool's Errand,Marjorie Hudson,2003.0,10.0
192883244X,9.0,1,"Man, Woman, and the Meaning of Love: God's Plan for Love, Marriage, Intimacy, and the Family",Dietrich Von Hildebrand,2001.0,9.0
1929132123,7.0,1,I Want My Potty,Tony Ross,2001.0,7.0
1929194196,10.0,1,Sun Tzu's The Art of War Plus The Original Chinese Revealed,Sun Tzu,2003.0,10.0
1929317999,10.0,1,Sailing the Dream,John F. McGrady,1999.0,10.0
1930252501,9.0,1,The Brink,Alien Stevens,2002.0,9.0
1930353006,8.0,1,The Toy Factory (Sammy and Brian Mystery),Ken Munro,2000.0,8.0
1930586787,8.0,1,The Plunge,Walter Prucnel,2002.0,8.0
1930662513,9.0,1,"Intelligence, Internment &amp; Relocation: Roosevelt's Executive Order 9066: How Top Secret \MAGIC\"" Intelligence Led to Evacuation""",Keith Robar,2000.0,9.0
1930722109,8.0,1,Why America's Children Can't Think: Creating Independent Minds for the 21st Century,Peter Kline,2002.0,8.0
193072229X,10.0,2,MoveOn's 50 Ways to Love Your Country: How to Find Your Political Voice and Become a Catalyst for Change,Moveon,2004.0,20.0
1931081727,9.0,1,The Devil You Know,Poppy Z. Brite,2003.0,9.0
1931081743,7.0,1,Colonel Rutherford's Colt,Lucius Shepard,2003.0,7.0
1931166196,9.0,1,World Leaders Speak: The Messiah Has Come,HSA-UWC,2003.0,9.0
1931201080,6.5,2,Wolfpointe,Rick Buda,2004.0,13.0
1931402213,5.0,1,Phantom Feast,Diana Barron,2001.0,5.0
1931412677,6.0,1,Feel Good Naked,Laure Redmond,2001.0,6.0
1931514151,10.0,1,Peach Girl #5,Miwa Ueda,2002.0,10.0
193151416X,10.0,1,PEACH GIRL #6,Miwa Ueda,2002.0,10.0
1931514178,10.0,1,"Peach Girl, Book 7",Miwa Ueda,2002.0,10.0
1931514186,10.0,1,"Peach Girl, Book 8",Miwa Ueda,2003.0,10.0
1931514461,9.0,2,Real Bout High School #2,Reiji Saiga,2002.0,18.0
1931514496,9.0,1,GTO Vol. 3,Tohru Fujisawa,2002.0,9.0
1931514542,10.0,1,Marmalade Boy #1,Wataru Yoshizumi,2002.0,10.0
1931514550,10.0,1,Marmalade Boy #2,Wataru Yoshizumi,2002.0,10.0
1931514569,10.0,1,Marmalade Boy (Book 3),Wataru Yoshizumi,2002.0,10.0
1931514577,10.0,1,MARMALADE BOY #4,Wataru Yoshizumi,2002.0,10.0
1931514623,4.0,1,Planet Ladder (Volume 1),Narushima Yuri,2002.0,4.0
1931514739,10.0,1,Ragnarok #1,Myong-Jin Yi,2002.0,10.0
1931514747,10.0,1,RAGNAROK # 2,Myong-Jin Yi,2002.0,10.0
1931514755,10.0,1,"Ragnarok: Night of Blood, Vol. 3",Myung Jin Lee,2002.0,10.0
1931514763,10.0,1,"Dawn of Destruction (Ragnarok, Book 4)",Myung-Jin Lee,2002.0,10.0
1931514771,10.0,1,"Twilight of Terror (Ragnarok, Vol. 5)",Jin Lee Myung,2003.0,10.0
193151478X,10.0,1,Midnight's Masters (Ragnarok 6),Myung-Jin Lee,2003.0,10.0
1931514917,9.0,3,Cowboy Bebop # 1,Yutaka Nanten,2002.0,27.0
1931514925,7.0,2,Chobits Vol.1,Clamp,2002.0,14.0
1931514933,9.0,1,GTO #1,Tohru Fujisawa,2002.0,9.0
1931514941,10.0,1,Love Hina (Book 1),Ken Akamatsu,2002.0,10.0
193151495X,9.0,2,Real Bout High School #1,Sora Inoue,2002.0,18.0
1931514968,9.0,1,GTO #2,Tohru Fujisawa,2002.0,9.0
1931514976,10.0,1,Love Hina (Book 2),Ken Akamatsu,2002.0,10.0
1931520003,7.333333333333333,3,Stranger Things Happen,Kelly Link,2001.0,22.0
1931520038,9.25,4,The Mount: A Novel,Carol Emshwiller,2002.0,37.0
193152713X,10.0,1,A Journey to Hell and Back,Charlotte Russell Johnson,2002.0,10.0
1931561230,7.666666666666667,3,Sleep Toward Heaven: A Novel,Amanda Eyre Ward,2003.0,23.0
1931561281,6.5,2,The Australia Stories: A Novel,Todd James Pierce,2003.0,13.0
193156146X,9.416666666666666,12,The Time Traveler's Wife,Audrey Niffenegger,2003.0,113.0
1931561648,9.25,12,The Time Traveler's Wife (Today Show Book Club #15),Audrey Niffenegger,2003.0,111.0
1931646384,9.0,1,Never Act Your Age: Play the Happy Childlike Role Well at Every Age,Dale L. Anderson,2002.0,9.0
1931686408,10.0,1,Escape from Fire Island!: A Date With Destiny Adventure,James H. English,2003.0,10.0
1931709300,10.0,1,The Cross at Ground Zero,Benedict J. Groeschel,2002.0,10.0
1931836876,9.0,1,Stealing the Network: How to Own the Box,Ryan Russell,2003.0,9.0
1932047247,9.0,1,Government Project,Robert Kelley,2003.0,9.0
1932100024,6.0,1,"Taking the Red Pill: Science, Philosophy and Religion in The Matrix",Glenn Yeffeth,2003.0,6.0
1932100040,9.0,1,The Man Who Folded Himself,David Gerrold,2003.0,9.0
1932173102,8.0,1,My Brother's Voice: How a Young Hungarian Boy Survived the Holocaust: A True Story,Stephen Nasser,2003.0,8.0
1932270329,6.0,1,Johnny Cash: An American Legend,Michael McCall,2003.0,6.0
1932344268,10.0,1,Does God have a Remote Control,Jenelle Feyh,2003.0,10.0
1932360069,9.0,1,The Long Haul: A Novel,Amanda Stern,2003.0,9.0
1932360239,8.0,1,The Pornographer's Poem,Michael Turner,2004.0,8.0
193264542X,10.0,1,A Guide to the Passion: 100 Questions About The Passion of The Christ,Tom Allen,2004.0,10.0
2013218923,8.0,1,Le Crime de l'Orient-Express,Agatha Christie,2001.0,8.0
202005924X,8.0,1,Patience dans l'azur: L'Ã©volution cosmique (Science ouverte),Hubert Reeves,1981.0,8.0
2020062143,7.0,1,La Barbare,Pancol,0.0,7.0
2020067447,9.0,1,Les Fous De Bassan,Hebert,0.0,9.0
2020068079,8.0,1,Traite Du Zen Et De L'entretie,Pirsig,1998.0,8.0
2020088959,8.0,1,L'univers ambidextre,Martin Gardner,1985.0,8.0
2020094851,8.0,1,Sky My Husband! Ciel Mon Mari!,Chiflet,1994.0,8.0
202009908X,7.0,1,La Vie fantÃ?Â´me,Sallenav,1988.0,7.0
2020099136,9.0,1,Catalogue des idÃ©es reÃ§ues sur la langue (Points. Point-virgule),Marina Yaguello,1988.0,9.0
2020126540,10.0,1,Je suis nÃ© (La Librairie du XXe siÃ¨cle),Georges Perec,1990.0,10.0
2020239213,5.0,1,L'exposition coloniale,Erik Orsenna,1995.0,5.0
2020239302,7.5,2,Le Vieux Qui Lisait Les Romans Damour,Luis Sepulveda,0.0,15.0
202025462X,5.6,5,Hygiene De Lassassin,Amelie Nothomb,2002.0,28.0
2020281341,8.0,1,La vie me fait peur,Jean-Paul Dubois,1996.0,8.0
2020291541,8.5,2,Je suis vivant et vous Ã?Âªtes morts,Emmanuel CarrÃ?Â¨re,1997.0,17.0
2020301016,8.0,1,Hier,Agota Kristof,1996.0,8.0
2020309610,9.0,1,De Si Jolis Cheveaux,McCarthy,2000.0,9.0
2020315491,8.0,1,Le neveu d'AmÃ?Â©rique,Luis SepÃ?Âºlveda,1998.0,8.0
2020326450,7.0,1,Textes de scÃ?Â¨ne,Pierre Desproges,1997.0,7.0
2020336480,9.0,1,Les fous de Bassan,Anne HÃ?Â©bert,1998.0,9.0
2020349140,10.0,1,Les chroniques de l'oiseau Ã?Â  ressort,Haruki Murakami,2001.0,10.0
2020375060,5.0,1,Tigre en papier,Olivier Rolin,2002.0,5.0
2020385805,9.0,3,Neige,Maxence Fermine,2000.0,27.0
2020385856,10.0,1,Bouquiner: Autobiobibliographie,Annie FranÃ§ois,2000.0,10.0
2020395886,7.0,1,La Culture expliquÃ?Â©e Ã?Â  ma fille,JÃ?Â©rÃ?Â´me ClÃ?Â©ment,2000.0,7.0
2020477815,7.0,1,Le Pingouin,AndreÃ?Â¯ Kourkov,2001.0,7.0
2020482363,7.5,2,Sans nouvelles de Gurb,Eduardo Mendoza,2001.0,15.0
2020490668,10.0,1,Une riviÃ?Â¨re verte et silencieuse,Hubert Mingarelli,2001.0,10.0
2020551306,6.0,1,LA Vie Sexuelle De Catherine M.,Catherine Millet,2002.0,6.0
2035877393,7.0,1,Illusion Comique,Pierre Corneille,1998.0,7.0
2038716633,4.0,1,L'Ecole des femmes,Moliere,2003.0,4.0
2070259811,9.0,1,La guerre de la fin du monde,Mario Vargas Llosa,1983.0,9.0
2070301028,8.0,1,Quelqu'un d'autre,Tonino Benacquista,2003.0,8.0
2070322068,8.0,1,Les Orientales ; Les Feuilles d'automne,Hugo,1981.0,8.0
2070322793,9.0,1,Manifestes Du Surrealisme,Andre Breton,1999.0,9.0
2070323498,8.0,1,La sociÃ?Â©tÃ?Â© de consommation,Jean Baudrillard,1996.0,8.0
2070324303,8.0,1,Par-delÃ?Â  bien et mal,Friedrich Nietzsche,1987.0,8.0
2070326977,8.0,1,ThÃ?Â©orie de l'art moderne,Paul Klee,1998.0,8.0
2070334368,7.0,1,La Guerre Des Boutons,Pergaud,0.0,7.0
2070360024,7.857142857142857,7,"L'Etranger (Collection Folio, 2)",Albert Camus,1990.0,55.0
2070360423,8.333333333333334,3,LA Peste (Folio Series: No. 42),Albert Camus,1985.0,25.0
2070360784,10.0,1,L'Exil Et Le Royaume,Albert Camus,1957.0,10.0
2070361039,8.6,5,Zazie Dans Le Metro (Folio),Raymond Queneau,1972.0,43.0
2070362361,7.0,1,"La Cantatrice Chauve: Anti-Piece / La Lecon: Drame Comique (Collection Folio, 236)",Eugene Ionesco,2002.0,7.0
2070362388,7.333333333333333,6,Ravage,Rene Barjavel,0.0,44.0
2070362426,9.5,2,Les racines du ciel,Romain Gary,1972.0,19.0
2070362841,7.0,1,Le ChÃ?Â¢teau,Franz Kafka,1972.0,7.0
2070363104,10.0,1,Histoires Extraordinaires,Edgar Allan Poe,0.0,10.0
2070363511,8.5,2,Au-dessous du volcan,Lowry M,1973.0,17.0
2070364178,7.0,2,Silbermann,Jacques Lacretelle,0.0,14.0
2070364283,7.25,4,La Perle,John Steinbeck,1973.0,29.0
2070365425,6.0,1,La dame d,,,6.0
2070366081,9.0,1,Salammbo,Gustave Flaubert,0.0,9.0
2070367622,10.0,1,Paroles,Jacques Prevert,1989.0,10.0
207036805X,5.0,1,La Nausee,Jean Paul Sartre,2002.0,5.0
2070368076,7.0,1,Huis Clos Suivi de Les Mouches (Folio Ser. No. 807),Jean-Paul Sartre,1964.0,7.0
2070368157,8.0,1,Les jeunes filles,Henry de Montherlant,1972.0,8.0
2070368165,6.5,2,Rhinoceros (French Edition),Eugene Ionesco,1959.0,13.0
2070369390,7.0,2,Elise Ou LA Vraie Vie,Claire Etcherelli,1996.0,14.0
2070369439,9.0,1,Le Marin de Gibraltar,Marguerite Duras,1977.0,9.0
2070370003,10.0,3,Les Fleurs Bleues,Raymond Queneau,0.0,30.0
2070371700,7.0,1,Mangeclous,Albert Cohen,1996.0,7.0
2070372162,8.5,2,Moby Dick 2VOL,Herman Melville,0.0,17.0
2070372294,3.0,1,Le Coq De Bruygre (Folio Ser; No. 1229)),Tournier,1987.0,3.0
2070372391,9.0,1,"Berlin, Alexanderplatz",Alfred DÃ?Â¶blin,1981.0,9.0
2070373622,7.5,2,La Vie devant soi,Romain Gary,1982.0,15.0
2070373630,8.8,5,Exercices De Style,R. Queneau,1995.0,44.0
2070373703,8.0,1,La Billebaude,Henri Vincenot,1982.0,8.0
2070374556,7.5,2,Confession d'un masque,Yukio Mishima,1983.0,15.0
2070374637,8.0,2,L'Ami retrouvÃ?Â©,Fred Uhlman,1983.0,16.0
207037467X,8.0,2,Les Cerfs-volants,Romain Gary,1983.0,16.0
2070374742,8.0,1,Le pape des escargots,Henri Vincenot,1983.0,8.0
2070374807,10.0,1,Sa Majeste Des Mouches,William Golding,0.0,10.0
2070374874,8.0,1,Cyrano De Bergerac (Collection Folio),E. Rostand,2003.0,8.0
2070375161,6.2,5,La Ferme Des Animaux,George Orwell,0.0,31.0
2070376702,9.5,2,Desert (Folio Ser .: No 1670),J. M. Le Clezio,1987.0,19.0
2070376990,7.0,1,"Dix Heures Et Demie Du Soir En Ete (Folio, No 1699)",Marguerite Duras,1992.0,7.0
2070378233,9.0,1,La guerre de la fin du monde,Mario Vargas Llosa,1987.0,9.0
2070378306,8.5,2,La maladie humaine,Ferdinando Camon,1987.0,17.0
2070378411,6.0,2,L'Enchanteur,RenÃ?Â© Barjavel,1987.0,12.0
2070380599,9.5,2,Au bonheur des ogres (Collectiom Folio),Daniel Pennac,1993.0,19.0
2070380742,5.0,1,Les Courriers De La Mort,Magnan,0.0,5.0
2070381161,6.0,1,Cest Beau Une Ville La Nuit,Richard Bohringer,0.0,6.0
2070381471,8.0,1,Aziyade (Language: French),Pierre Loti,1988.0,8.0
207038165X,7.833333333333333,6,L'Insoutenable Legerete de l'Etre,Milan Kundera,1989.0,47.0
2070384349,10.0,1,La Faute de l'abbÃ?Â© Mouret,Emile Zola,1991.0,10.0
2070386023,6.5,2,Le LiÃ?Â¨vre de Vatanen,Arto Paasilinna,1993.0,13.0
2070388425,8.0,1,La Part manquante,Christian Bobin,1994.0,8.0
2070388638,9.0,1,La MÃ?Â©canique des femmes,Louis Calaferte,1994.0,9.0
2070388905,8.714285714285714,7,Comme un roman,Daniel Pennac,1995.0,60.99999999999999
2070389634,9.0,1,L'Idiot,FÃ?Â©dor DostoÃ?Â¯evski,2001.0,9.0
2070392627,9.0,1,Les Vacances du petit Nicolas,Jean-Jacques SempÃ?Â©,1994.0,9.0
2070393577,8.0,1,Exercices de style,Raymond Queneau,1995.0,8.0
2070394867,8.0,1,Kitchen,Banana Yoshimoto,1996.0,8.0
2070400557,8.0,2,L'Ecriture ou la vie,Jorge Semprun,1996.0,16.0
2070400867,8.0,1,Lambeaux,Charles Juliet,1997.0,8.0
2070401685,7.0,3,L'Ile des Gauchers,Alexandre Jardin,1997.0,21.0
2070404722,8.0,1,Prisonniers du paradis,Arto Paasilinna,1998.0,8.0
2070407675,8.0,1,Les Enfants du marais,Georges Montforez,1999.0,8.0
2070408507,8.4,5,Le Petit Prince,Antoine de Saint-ExupÃ©ry,1999.0,42.0
2070409848,5.5,2,Naissance des fantÃ?Â´mes,Marie Darrieussecq,1999.0,11.0
2070412571,8.0,1,La Maison du sommeil,Jonathan Coe,2000.0,8.0
2070414167,9.0,1,Naissances,P. Peju,2000.0,9.0
2070414574,7.0,2,L'Amour Dure Trois,Frederick Beigbeder,2002.0,14.0
2070415066,7.0,2,Geai,Christian Bobin,2000.0,14.0
2070415686,7.25,4,"Le Guide galactique, tome 1",Jean Bonnefoy,2000.0,29.0
2070417611,9.0,1,Romain Gary,Dominique Bona,2001.0,9.0
2070417700,6.0,1,Deus Irae,Philip Kindred Dick,2001.0,6.0
2070417743,9.0,1,Chroniques martiennes,Ray Bradbury,2002.0,9.0
2070419657,7.333333333333333,3,Soie,Alessandro Baricco,2001.0,22.0
2070419878,9.666666666666666,3,Novecento : Pianiste,Alessandro Baricco,2002.0,29.0
2070422437,7.0,1,Trois chevaux,Erri De Luca,2002.0,7.0
207042314X,5.5,2,L'Homme Ã?Â  l'affÃ?Â»t,Julio CortÃ?Â¡zar,2002.0,11.0
2070423204,7.0,1,Lieux dits,Michel Tournier,2002.0,7.0
2070424197,7.0,1,La Joueuse de go,Sa Shan,2003.0,7.0
2070424324,8.0,1,Le JeÃ?Â»ne et le Festin,Anita Desai,2002.0,8.0
2070425479,8.0,1,Les Exploits d'un jeune Don Juan,Guillaume Apollinaire,2002.0,8.0
2070425533,6.0,2,Gibiers d'Ã?Â©levage,Kenzaburo OÃ?Â©,2002.0,12.0
2070426815,7.0,1,L'oeil de la sibylle,Dick,2003.0,7.0
2070513726,9.0,1,Le Bon Gros GÃ?Â©ant,Roald Dahl,2000.0,9.0
2070516504,8.0,1,Le lion,Joseph Kessel,1997.0,8.0
207053880X,10.0,1,L'Homme Qui Plantait Des Arbres,Jean Giono,2002.0,10.0
207054351X,5.0,1,Harry Potter Et LA Coupe De Feu,J. K. Rowling,2002.0,5.0
2070544281,9.0,1,SacrÃ?Â©es sorciÃ?Â¨res,Roald Dahl,2000.0,9.0
2070567842,8.333333333333334,3,Folio Junior: L'histoire De Monsieur Sommer,Su>skind-Sempe,0.0,25.0
2070583333,7.0,1,MÃ?Â©moires d'une vache,Bernardo Atxaga,1994.0,7.0
2070714489,8.0,1,Lettres Ã?Â  son frÃ?Â¨re ThÃ?Â©o,Vincent van Gogh,1988.0,8.0
207071781X,9.0,1,Papiers colles II,Perros G,1989.0,9.0
2070725804,8.333333333333334,3,Comme un roman,Daniel Pennac,1992.0,25.0
2070728951,7.0,1,Le secret: Roman,Philippe Sollers,1992.0,7.0
2070756319,8.5,2,Le Dictateur et le hamac,Daniel Pennac,2003.0,17.0
2070757625,7.0,1,Balzac et la petite tailleuse chinoise,Dai Sijie,2002.0,7.0
2070757811,4.0,1,La Nouvelle Pornographie,Marie Nimier,2000.0,4.0
2070764702,10.0,1,Ben Laden secret de famille de l'AmÃ?Â©rique,Arundhati Roy,2001.0,10.0
2080105434,8.0,1,The Little Book of Chocolate (Little Book Of...(Flammarion)),Alain Stella,2001.0,8.0
